pitcher_id,pitcher_name,year,pitches,games,tj_stuff_plus,pitches_per_game,position,pitch_type,mean,std,median,min,max,percentile_1,percentile_99,pitch_grade
608678,Dominic Leone,2024,29,10,98.28982509364562,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,56.33004679071458
677976,Randy Dobnak,2024,22,5,85.2322361073523,,RP,FF,97.29024735737988,6.078459125845886,97.09670890504734,81.2230917971995,118.10419744965911,81.32311771953398,117.7938724746093,30.16271722753492
676614,Bryan Sammons,2024,29,6,94.6282277400857,,SP,CU,99.88832068607897,4.615228571103906,99.08993373693156,89.84495168337246,119.90089262632986,90.20429983334718,117.89567125997061,38.60274661383647
695076,Rhett Lowder,2024,95,6,101.95820245431199,,SP,CH,96.35866365133434,6.178939251378385,95.80884625564597,81.28802319264824,121.14136334013493,82.02275793969746,119.09639344796777,59.06229787212832
683004,Jack Leiter,2024,340,9,109.72459248273465,,SP,FF,97.29024735737988,6.078459125845886,97.09670890504734,81.2230917971995,118.10419744965911,81.32311771953398,117.7938724746093,70.45640986953974
623465,Evan Phillips,2024,90,34,97.7852816470191,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,55.315570442793614
681676,Ryan Fernandez,2024,15,7,98.59275826342478,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,56.93914901530295
682842,Abner Uribe,2024,88,14,119.73190890032248,,RP,SL,103.49296290610897,5.265572779780409,103.19144262214559,88.84957017284297,121.88798777026031,89.76670287371176,121.36013955239422,80.0
694813,Gavin Stone,2024,91,22,99.06316351879788,,SP,CU,99.88832068607897,4.615228571103906,99.08993373693156,89.84495168337246,119.90089262632986,90.20429983334718,117.89567125997061,48.21209902268454
642547,Freddy Peralta,2024,649,32,98.83782879933882,,SP,SL,103.49296290610897,5.265572779780409,103.19144262214559,88.84957017284297,121.88798777026031,89.76670287371176,121.36013955239422,41.15930155852051
663568,Stephen Kolek,2024,317,42,95.65349692991722,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,51.029229615617744
450203,Charlie Morton,2024,216,29,95.9439897065493,,SP,FC,98.83449547008738,5.811964883678063,98.54483029899575,83.20928731685326,119.78700324933075,83.34007602984008,118.21186533190846,45.026628994859244
642028,Josh Rogers,2024,20,5,92.88932318939106,,RP,SL,103.49296290610897,5.265572779780409,103.19144262214559,88.84957017284297,121.88798777026031,89.76670287371176,121.36013955239422,29.86232427090275
669923,George Kirby,2024,241,33,105.78814181718928,,SP,KC,101.8993919341341,4.271694896723436,100.79211889194949,93.69754063161618,119.4933202093256,93.75149298057133,119.38166236091195,59.10352910746976
665871,Javier Assad,2024,292,29,98.49961923337271,,SP,CU,99.88832068607897,4.615228571103906,99.08993373693156,89.84495168337246,119.90089262632986,90.20429983334718,117.89567125997061,46.991045120926486
606303,Joel Payamps,2024,357,67,105.8195468332111,,RP,SL,103.49296290610897,5.265572779780409,103.19144262214559,88.84957017284297,121.88798777026031,89.76670287371176,121.36013955239422,54.41848213747254
641154,Pablo López,2024,590,32,98.7291420846275,,SP,CH,96.35866365133434,6.178939251378385,95.80884625564597,81.28802319264824,121.14136334013493,82.02275793969746,119.09639344796777,53.83638410551513
666277,George Soriano,2024,90,19,98.47392959853856,,RP,CH,96.35866365133434,6.178939251378385,95.80884625564597,81.28802319264824,121.14136334013493,82.02275793969746,119.09639344796777,53.42334802325877
656550,Grant Holmes,2024,12,8,84.45660932864791,,RP,CH,96.35866365133434,6.178939251378385,95.80884625564597,81.28802319264824,121.14136334013493,82.02275793969746,119.09639344796777,30.737706200896312
664076,Garrett Cleavinger,2024,251,54,91.40941165355795,,RP,FF,97.29024735737988,6.078459125845886,97.09670890504734,81.2230917971995,118.10419744965911,81.32311771953398,117.7938724746093,40.32512091951668
669620,Brady Basso,2024,72,7,95.25861071738039,,SP,CU,99.88832068607897,4.615228571103906,99.08993373693156,89.84495168337246,119.90089262632986,90.20429983334718,117.89567125997061,39.968622577686965
670871,Guillo Zuñiga,2024,91,13,106.6510560097122,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,73.14182199177891
641482,Nestor Cortes,2024,779,31,101.4171349282452,,SP,FC,98.83449547008738,5.811964883678063,98.54483029899575,83.20928731685326,119.78700324933075,83.34007602984008,118.21186533190846,54.44365977745451
458681,Lance Lynn,2024,332,22,90.39775776077941,,SP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,40.461610288517484
681432,Luke Little,2024,114,28,99.89905851512611,,RP,ST,106.44784631565936,5.593943599731136,106.24878922952112,91.18894850636659,125.29541262167034,91.69322149368426,125.25688309207108,38.29307503055983
