"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Duffy, Danny","518633","2020","242",23.6,9.1,".324",".330",32.9,7.5,36,"77.840288987","93.989484013",25.6,46.3
"Eibner, Brett","518649","2020","21",19,19,".541",".541",69.2,23.1,46.2,"80.10548","95.712272308",25,47.1
"Freeman, Sam","518693","2020","25",24,28,".248",".327",16.7,0,33.3,"77.152175","92.188843333",26.1,42.2
"Grimm, Justin","518748","2020","27",22.2,14.8,".560",".393",52.9,17.6,47.1,"81.858907778","94.137696471",24.4,36.3
"Harvey, Matt","518774","2020","65",15.4,7.7,".543",".460",44,12,54,"84.8875116","96.0373052",17.1,42.5
"Holland, Greg","518813","2020","112",27.7,6.3,".254",".259",29.6,7,40.8,"80.143804","93.943339571",29.9,45
"Jones, Nate","518858","2020","86",26.7,7,".399",".344",40,10.9,56.4,"85.237845357","95.888517636",32.8,50.7
"Kelly, Merrill","518876","2020","125",23.2,4,".275",".304",36.7,11.1,40,"76.663023409","94.35112625",23.5,45.9
"Kimbrel, Craig","518886","2020","69",40.6,17.4,".312",".332",55.6,18.5,51.9,"81.437132143","95.444365185",35.4,37.7
"McFarland, T.J.","519008","2020","92",9.8,5.4,".378",".366",27.3,6.5,42.9,"81.139391579","95.0378824",16.2,42.9
"Pomeranz, Drew","519141","2020","73",39.7,13.7,".220",".209",5.9,2.9,29.4,"77.088044118","92.266657647",34.7,46.4
"Porcello, Rick","519144","2020","261",20.7,5.7,".340",".348",35.3,8.4,36.8,"74.969895638","93.762452941",15.3,48.4
"Pressly, Ryan","519151","2020","91",31.9,7.7,".312",".258",29.6,3.7,42.6,"80.467330741","93.76332963",36.5,50.4
"Smith, Will","519293","2020","62",29,6.5,".325",".344",37.5,15,45,"78.6765915","95.46286325",36.7,47.6
"Strickland, Hunter","519326","2020","16",25,6.3,".364",".267",36.4,0,27.3,"66.95213","92.175417273",25,52.5
"Venditte, Pat","519381","2020","15",33.3,0,".201",".233",25,0,25,"69.5929725","91.88787375",43.5,41.8
"Venditte, Pat","519381","2020","15",33.3,0,".201",".233",25,0,25,"69.5929725","91.88787375",43.5,41.8
"Walden, Marcus","519393","2020","71",14.1,12.7,".495",".479",42.3,13.5,53.8,"84.468594615","96.653632308",18.4,47.7
"Workman, Brandon","519443","2020","101",22.8,12.9,".423",".387",32.3,12.3,49.2,"78.800739063","95.380503125",25.4,42.8
"Zimmermann, Jordan","519455","2020","28",21.4,7.1,".422",".351",45,5,45,"74.251565","94.276107",18.9,49.1
"Báez, Pedro","520980","2020","70",18.6,10,".237",".279",22,4,28,"76.984615833","92.311113125",28.8,47.7
"Hendriks, Liam","521230","2020","92",40.2,3.3,".173",".240",38.5,3.8,32.7,"81.3643688","93.895631",36.1,56.2
"Font, Wilmer","521655","2020","85",17.6,10.6,".420",".373",33.3,6.7,45,"79.139717931","94.950195614",19.3,49.2
"Kelly, Joe","523260","2020","42",21.4,16.7,".310",".320",30.8,0,34.6,"79.17844","92.656893077",27.5,40.4
"Pérez, Martín","527048","2020","262",17.6,10.7,".325",".334",34.6,7.6,29.2,"75.493130333","92.55774838",22.1,43.3
"Teheran, Julio","527054","2020","149",13.4,10.7,".421",".429",42.3,12.6,38.7,"78.275199818","93.91657156",14.6,44.4
"Castellanos, Humberto","528748","2020","51",23.5,9.8,".369",".324",34.4,6.3,31.3,"80.774634375","93.487271875",21.9,46.4
"Osuna, Roberto","532077","2020","16",18.8,0,".208",".300",30.8,0,30.8,"72.162728571","92.450403077",28.6,50.9
"Shoemaker, Matt","533167","2020","115",22.6,7.8,".312",".341",35,10,38.8,"76.5518545","93.58336519",28.1,48.7
"Hahn, Jesse","534910","2020","65",29.2,12.3,".157",".227",24.3,0,27,"76.208199444","92.561418857",24.2,41.1
"Ramírez, Erasmo","541640","2020","53",17,7.5,".213",".308",25,7.5,40,"81.82332","94.69679975",21.1,46.2
"Cisnero, José","542585","2020","123",27.6,8.1,".266",".315",36.8,7.9,46.1,"79.733675526","94.408269868",32.1,48.6
"Anderson, Tyler","542881","2020","260",15.8,9.6,".325",".334",39.5,5.8,31.1,"76.293347204","92.692784355",24.5,45.7
"Andriese, Matt","542882","2020","126",26.2,8.7,".271",".298",28.4,8.6,35.8,"79.909024634","93.704956914",22.5,47.2
